muni_code,municipality,registered voters,envelopes,valid votes,Obèanská demokratická strana,Øád národa - Vlastenecká unie,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,Èeská str.sociálnì demokrat.,Radostné Èesko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Èech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných obèanù,Blok proti islam.-Obran.domova,Obèanská demokratická aliance,Èeská pirátská strana
531537,Mezouò,Výsledky hlasování za územní celky – Obec Mezouò – èást 1,Výsledky hlasování za územní celky – Obec Mezouò – èást 2,434,329,327,57,2,2,7,0,25,9,4,3,2,1,0,42
531545,Moøina,Výsledky hlasování za územní celky – Obec Moøina – èást 1,Výsledky hlasování za územní celky – Obec Moøina – èást 2,617,412,410,84,1,0,28,0,25,27,1,2,10,1,1,48
533912,Moøinka,Výsledky hlasování za územní celky – Obec Moøinka – èást 1,Výsledky hlasování za územní celky – Obec Moøinka – èást 2,129,93,93,16,0,0,4,0,6,1,1,1,8,0,0,10
533602,Nenaèovice,Výsledky hlasování za územní celky – Obec Nenaèovice – èást 1,Výsledky hlasování za územní celky – Obec Nenaèovice – èást 2,197,146,146,12,0,0,4,0,7,14,2,4,4,0,0,16
534269,Nesvaèily,Výsledky hlasování za územní celky – Obec Nesvaèily – èást 1,Výsledky hlasování za územní celky – Obec Nesvaèily – èást 2,128,105,105,14,0,0,11,1,3,13,1,1,0,0,0,11
531588,Neumìtely,Výsledky hlasování za územní celky – Obec Neumìtely – èást 1,Výsledky hlasování za územní celky – Obec Neumìtely – èást 2,437,250,250,36,0,0,24,0,5,26,1,3,4,0,0,21
531596,Nižbor,Výsledky hlasování za územní celky – Obec Nižbor – èást 1,Výsledky hlasování za územní celky – Obec Nižbor – èást 2,1614,1038,1033,160,3,1,61,0,51,74,26,5,9,1,0,158
531600,Nový Jáchymov,Výsledky hlasování za územní celky – Obec Nový Jáchymov – èást 1,Výsledky hlasování za územní celky – Obec Nový Jáchymov – èást 2,540,354,350,43,1,1,24,0,7,36,6,4,9,0,2,33
531626,Olešná,Výsledky hlasování za územní celky – Obec Olešná – èást 1,Výsledky hlasování za územní celky – Obec Olešná – èást 2,343,227,225,23,1,1,21,0,5,20,1,3,2,0,1,24
531634,Osek,Výsledky hlasování za územní celky – Obec Osek – èást 1,Výsledky hlasování za územní celky – Obec Osek – èást 2,633,421,417,49,0,0,35,0,20,38,4,3,3,1,0,52
531642,Osov,Výsledky hlasování za územní celky – Obec Osov – èást 1,Výsledky hlasování za územní celky – Obec Osov – èást 2,290,202,199,26,1,0,15,0,9,16,4,1,1,0,0,30
534111,Otmíèe,Výsledky hlasování za územní celky – Obec Otmíèe – èást 1,Výsledky hlasování za územní celky – Obec Otmíèe – èást 2,142,107,105,12,0,0,4,0,3,9,0,1,4,0,0,21
531669,Otroèinìves,Výsledky hlasování za územní celky – Obec Otroèinìves – èást 1,Výsledky hlasování za územní celky – Obec Otroèinìves – èást 2,411,293,293,34,0,0,11,0,20,38,7,2,2,1,2,42
534285,Podbrdy,Výsledky hlasování za územní celky – Obec Podbrdy – èást 1,Výsledky hlasování za územní celky – Obec Podbrdy – èást 2,176,122,122,12,0,0,7,0,9,22,1,0,3,0,0,13
531685,Podluhy,Výsledky hlasování za územní celky – Obec Podluhy – èást 1,Výsledky hlasování za územní celky – Obec Podluhy – èást 2,535,337,334,44,0,0,32,0,12,41,3,5,2,0,0,39
531693,Praskolesy,Výsledky hlasování za územní celky – Obec Praskolesy – èást 1,Výsledky hlasování za územní celky – Obec Praskolesy – èást 2,690,465,464,58,1,0,42,0,23,45,6,4,14,0,2,60
531715,Rpety,Výsledky hlasování za územní celky – Obec Rpety – èást 1,Výsledky hlasování za územní celky – Obec Rpety – èást 2,403,259,259,34,2,0,20,0,9,27,3,3,5,0,0,27
533963,Skøipel,Výsledky hlasování za územní celky – Obec Skøipel – èást 1,Výsledky hlasování za územní celky – Obec Skøipel – èást 2,100,60,60,7,0,0,3,0,1,0,0,0,0,0,0,9
531740,Skuhrov,Výsledky hlasování za územní celky – Obec Skuhrov – èást 1,Výsledky hlasování za územní celky – Obec Skuhrov – èást 2,384,259,259,33,0,0,24,0,23,19,6,1,5,0,2,27
531758,Srbsko,Výsledky hlasování za územní celky – Obec Srbsko – èást 1,Výsledky hlasování za územní celky – Obec Srbsko – èást 2,411,271,270,53,0,0,15,0,25,12,5,3,3,1,0,34
531766,Stašov,Výsledky hlasování za územní celky – Obec Stašov – èást 1,Výsledky hlasování za územní celky – Obec Stašov – èást 2,362,220,220,20,1,0,29,0,9,22,1,2,2,0,0,19
531782,Suchomasty,Výsledky hlasování za územní celky – Obec Suchomasty – èást 1,Výsledky hlasování za územní celky – Obec Suchomasty – èást 2,360,238,236,23,1,0,12,0,5,45,5,2,2,0,0,28
531791,Svatá,Výsledky hlasování za územní celky – Obec Svatá – èást 1,Výsledky hlasování za územní celky – Obec Svatá – èást 2,407,288,287,31,0,0,23,0,14,32,0,1,3,0,1,33
531804,Svatý Jan pod Skalou,Výsledky hlasování za územní celky – Obec Svatý Jan pod Skalou – èást 1,Výsledky hlasování za územní celky – Obec Svatý Jan pod Skalou – èást 2,132,98,94,15,0,0,6,0,8,3,2,0,1,0,2,14
531812,Svinaøe,Výsledky hlasování za územní celky – Obec Svinaøe – èást 1,Výsledky hlasování za územní celky – Obec Svinaøe – èást 2,524,372,372,71,0,0,8,0,22,17,10,4,10,2,1,71
531839,Tetín,Výsledky hlasování za územní celky – Obec Tetín – èást 1,Výsledky hlasování za územní celky – Obec Tetín – èást 2,691,484,480,69,1,0,37,1,39,36,3,0,5,0,0,63
531847,Tlustice,Výsledky hlasování za územní celky – Obec Tlustice – èást 1,Výsledky hlasování za územní celky – Obec Tlustice – èást 2,753,505,503,60,1,0,32,1,21,65,5,3,8,0,1,54
531855,Tmaò,Výsledky hlasování za územní celky – Obec Tmaò – èást 1,Výsledky hlasování za územní celky – Obec Tmaò – èást 2,891,502,499,55,3,0,36,1,28,44,10,6,15,0,1,45
534463,Toèník,Výsledky hlasování za územní celky – Obec Toèník – èást 1,Výsledky hlasování za územní celky – Obec Toèník – èást 2,195,129,127,13,0,0,8,0,5,6,2,1,4,0,0,12
533106,Trubín,Výsledky hlasování za územní celky – Obec Trubín – èást 1,Výsledky hlasování za územní celky – Obec Trubín – èást 2,337,242,238,51,0,5,3,0,17,21,1,0,9,1,0,21
531880,Trubská,Výsledky hlasování za územní celky – Obec Trubská – èást 1,Výsledky hlasování za územní celky – Obec Trubská – èást 2,158,106,106,10,0,0,6,0,6,16,0,1,1,0,0,16
531901,Újezd,Výsledky hlasování za územní celky – Obec Újezd – èást 1,Výsledky hlasování za územní celky – Obec Újezd – èást 2,503,367,363,53,0,0,24,0,28,30,1,5,2,0,1,35
531910,Velký Chlumec,Výsledky hlasování za územní celky – Obec Velký Chlumec – èást 1,Výsledky hlasování za územní celky – Obec Velký Chlumec – èást 2,344,236,235,31,1,0,15,0,15,19,2,11,0,1,2,38
534234,Vinaøice,Výsledky hlasování za územní celky – Obec Vinaøice – èást 1,Výsledky hlasování za územní celky – Obec Vinaøice – èást 2,79,58,58,8,0,0,5,0,2,6,0,0,0,0,0,8
534048,Vižina,Výsledky hlasování za územní celky – Obec Vižina – èást 1,Výsledky hlasování za územní celky – Obec Vižina – èást 2,217,159,159,31,0,0,9,0,8,12,5,0,3,0,0,12
531944,Vráž,Výsledky hlasování za územní celky – Obec Vráž – èást 1,Výsledky hlasování za územní celky – Obec Vráž – èást 2,907,600,598,83,1,0,45,0,34,55,6,3,9,2,1,82
531952,Všeradice,Výsledky hlasování za územní celky – Obec Všeradice – èást 1,Výsledky hlasování za územní celky – Obec Všeradice – èást 2,344,226,226,27,0,0,14,0,8,18,2,2,4,0,1,30
531961,Vysoký Újezd,Výsledky hlasování za územní celky – Obec Vysoký Újezd – èást 1,Výsledky hlasování za územní celky – Obec Vysoký Újezd – èást 2,580,373,370,58,0,1,20,0,24,23,4,4,8,0,0,77
531979,Zadní Tøebaò,Výsledky hlasování za územní celky – Obec Zadní Tøebaò – èást 1,Výsledky hlasování za územní celky – Obec Zadní Tøebaò – èást 2,663,497,490,69,1,1,33,0,33,22,6,8,15,1,1,69
531995,Zajeèov,Výsledky hlasování za územní celky – Obec Zajeèov – èást 1,Výsledky hlasování za územní celky – Obec Zajeèov – èást 2,1181,768,763,94,2,0,53,1,27,119,13,5,9,1,0,79
532002,Záluží,Výsledky hlasování za územní celky – Obec Záluží – èást 1,Výsledky hlasování za územní celky – Obec Záluží – èást 2,392,228,227,22,0,1,16,0,12,39,3,2,0,0,0,15
532011,Zdice,Výsledky hlasování za územní celky – Obec Zdice – èást 1,Výsledky hlasování za územní celky – Obec Zdice – èást 2,3218,1958,1945,268,0,0,212,3,91,183,29,19,25,0,7,190
532029,Žebrák,Výsledky hlasování za územní celky – Obec Žebrák – èást 1,Výsledky hlasování za územní celky – Obec Žebrák – èást 2,1644,1105,1096,129,3,2,77,1,37,125,19,16,27,3,0,123
599417,Železná,Výsledky hlasování za územní celky – Obec Železná – èást 1,Výsledky hlasování za územní celky – Obec Železná – èást 2,207,146,146,21,0,0,5,0,3,20,0,0,2,0,1,21
